Number,Type,Name,Registration Point,Filename
696,bitmap,41590,"(211, 142)",
697,bitmap,41591,"(211, 142)",
698,bitmap,41592,"(211, 142)",
699,bitmap,41593,"(211, 142)",
700,bitmap,41594,"(211, 142)",
701,bitmap,41595,"(211, 142)",
702,bitmap,41596,"(205, 137)",
703,bitmap,41597,"(205, 137)",
704,bitmap,41598,"(211, 142)",
705,bitmap,41599,"(203, 137)",
706,bitmap,41600,"(211, 142)",
707,bitmap,41601,"(211, 142)",
708,bitmap,41602,"(211, 142)",
709,bitmap,41603,"(203, 137)",
710,bitmap,41604,"(211, 142)",
711,bitmap,41605,"(211, 142)",
712,bitmap,41606,"(203, 137)",
713,bitmap,41607,"(211, 142)",
714,bitmap,41608,"(211, 142)",
715,bitmap,41609,"(203, 137)",
716,bitmap,41610,"(211, 142)",
717,bitmap,41611,"(203, 137)",
718,bitmap,41612,"(211, 142)",
719,bitmap,41613,"(211, 142)",
720,bitmap,41614,"(211, 142)",
721,bitmap,41615,"(203, 137)",
722,bitmap,41616,"(203, 137)",
723,bitmap,41617,"(203, 137)",
